week,State,Average of Sum of Replacement Ratio 1,Average of Sum of Replacement Ratio 2
10-15,Alaska,0.326,0.288
10-15,Alabama,0.443,0.381
10-15,Arkansas,0.394,0.386
10-15,Arizona,0.363,0.302
10-15,California,0.407,0.341
10-15,Colorado,0.483,0.417
10-15,Connecticut,0.399,0.38
10-15,District of Columbia,0.426,0.388
10-15,Delaware,0.398,0.383
10-15,Florida,0.408,0.344
10-15,Georgia,0.454,0.408
10-15,Hawaii,0.596,0.529
10-15,Iowa,0.498,0.467
10-15,Idaho,0.502,0.468
10-15,Illinois,0.396,0.358
10-15,Indiana,0.352,0.326
10-15,Kansas,0.511,0.429
10-15,Kentucky,0.473,0.427
10-15,Louisiana,0.325,0.213
10-15,Massachusetts,0.436,0.433
10-15,Maryland,0.491,0.449
10-15,Maine,0.474,0.443
10-15,Michigan,0.45,0.363
10-15,Minnesota,0.49,0.46
10-15,Missouri,0.404,0.355
10-15,Mississippi,0.376,0.357
10-15,Montana,0.485,0.465
10-15,North Carolina,0.381,0.317
10-15,North Dakota,0.486,0.473
10-15,Nebraska,0.464,0.453
10-15,New Hampshire,0.419,0.357
10-15,New Jersey,0.526,0.484
10-15,New Mexico,0.519,0.461
10-15,Nevada,0.506,0.434
10-15,New York,0.41,0.323
10-15,Ohio,0.47,0.434
10-15,Oklahoma,0.533,0.494
10-15,Oregon,0.481,0.452
10-15,Pennsylvania,0.503,0.459
10-15,Puerto Rico,0.484,0.455
10-15,Rhode Island,0.414,0.402
10-15,South Carolina,0.441,0.383
10-15,South Dakota,0.498,0.464
10-15,Tennessee,0.379,0.327
10-15,Texas,0.516,0.425
10-15,Utah,0.468,0.447
10-15,Virginia,0.413,0.357
10-15,Vermont,0.604,0.572
10-15,Washington,0.493,0.448
10-15,Wisconsin,0.423,0.384
10-15,West Virginia,0.403,0.364
10-15,Wyoming,0.506,0.446
16-21,Alaska,0.319,0.268
16-21,Alabama,0.449,0.386
16-21,Arkansas,0.394,0.378
16-21,Arizona,0.363,0.308
16-21,California,0.405,0.343
16-21,Colorado,0.486,0.427
16-21,Connecticut,0.397,0.37
16-21,District of Columbia,0.431,0.393
16-21,Delaware,0.392,0.371
16-21,Florida,0.406,0.343
16-21,Georgia,0.444,0.399
16-21,Hawaii,0.619,0.554
16-21,Iowa,0.506,0.47
16-21,Idaho,0.497,0.457
16-21,Illinois,0.388,0.343
16-21,Indiana,0.351,0.326
16-21,Kansas,0.503,0.423
16-21,Kentucky,0.464,0.421
16-21,Louisiana,0.331,0.231
16-21,Massachusetts,0.438,0.433
16-21,Maryland,0.489,0.443
16-21,Maine,0.472,0.439
16-21,Michigan,0.449,0.365
16-21,Minnesota,0.495,0.46
16-21,Missouri,0.4,0.348
16-21,Mississippi,0.375,0.35
16-21,Montana,0.494,0.467
16-21,North Carolina,0.379,0.322
16-21,North Dakota,0.516,0.503
16-21,Nebraska,0.466,0.45
16-21,New Hampshire,0.422,0.363
16-21,New Jersey,0.523,0.479
16-21,New Mexico,0.528,0.475
16-21,Nevada,0.539,0.454
16-21,New York,0.418,0.339
16-21,Ohio,0.465,0.433
16-21,Oklahoma,0.523,0.493
16-21,Oregon,0.484,0.459
16-21,Pennsylvania,0.504,0.465
16-21,Puerto Rico,0.495,0.466
16-21,Rhode Island,0.422,0.409
16-21,South Carolina,0.44,0.384
16-21,South Dakota,0.496,0.463
16-21,Tennessee,0.379,0.327
16-21,Texas,0.509,0.425
16-21,Utah,0.468,0.445
16-21,Virginia,0.407,0.346
16-21,Vermont,0.586,0.58
16-21,Washington,0.497,0.447
16-21,Wisconsin,0.417,0.374
16-21,West Virginia,0.392,0.366
16-21,Wyoming,0.501,0.446
1-9,Alaska,0.324,0.283
1-9,Alabama,0.396,0.34
1-9,Arkansas,0.394,0.38
1-9,Arizona,0.371,0.306
1-9,California,0.433,0.346
1-9,Colorado,0.487,0.429
1-9,Connecticut,0.43,0.395
1-9,District of Columbia,0.404,0.338
1-9,Delaware,0.393,0.356
